ciselnik,ciselnik_kod,ciselnik_nazev,vek_IRI,vek_kod,vek_nazev,vek_od_vcetne,vek_do_vcetne
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66055055,66055055,55 let,55.0,55.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66055059,66055059,55–59 let,55.0,59.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66055064,66055064,55–64 let,55.0,64.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66055999,66055999,55 let a více,55.0,999.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66056056,66056056,56 let,56.0,56.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66056060,66056060,56–60 let,56.0,60.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66057057,66057057,57 let,57.0,57.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66058058,66058058,58 let,58.0,58.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66059059,66059059,59 let,59.0,59.0
https://data.mzd.gov.cz/data/číselníky/CIS001,CIS001,Číselník věkových skupin NZIS,https://data.mzd.gov.cz/data/číselníky/CIS001/66060060,66060060,60 let,60.0,60.0
